股票代码,公司简称,提问者,提问时间,问题内容,公司回复,回复者,indexId
2594,比亚迪,irm2774592,2026/3/30 20:33,请公司按时披露重要信息,,,2.23457E+18
2594,比亚迪,cninfo687410,2026/3/30 9:57,2025年公司为什么只拿出利润的十分之一进行分红，是不是不在意小股东利益？,,,2.23424E+18
2594,比亚迪,irm3248386,2026/3/30 4:02,公司是否已经从销量察觉汽车产品设计与定位问题？目前三大问题：一是设计风格不稳定，例如汉L唐L造型的失败。王朝系列应该沉稳大气，海洋网应年轻活力，方程豹越野方正潮流，腾势走商务舒适，仰望应简约霸气。二是价格混乱，应该明确渐分层。同一价格区间有太多同质化车型，导致消费者难以抉择。三是车型混乱，新出车型太多，大部分颜值不尽人意。导致精品车型少，只能打造少数爆款车型，难以树立明确的形象口碑。,,,2.23406E+18
2594,比亚迪,irm3250802,2026/3/29 17:39,董秘，您好！作为一名长期持有比亚迪公司的小股东，希望您向董事会转达我的个人建议。比亚迪公司近几年要少分红或者不分红，本次股东大会不要通过分红方案，而要将分红的资金用于迅速的扩大闪充站建设速度和用于固态电池研发投入。谢谢！,,,2.23374E+18
2594,比亚迪,irm2774592,2026/3/11 18:00,你们怎么结合AI进行技术创新？,尊敬的投资者，您好！汽车制造的应用是AI落地好的场景，公司一方面引入AI工具聚焦核心工作环节、激发研发灵感，推动经营效率与质量提升；另一方面利用AI赋能动力系统、智能座舱、智能驾驶等领域能力不断进化，持续优化消费者体验感，实现产品与功能的迭代进化。感谢您的关注！,比亚迪,2.22039E+18
2594,比亚迪,cninfo1370584,2026/3/6 22:01,昨天看完比亚迪的发布会，二代刀片非常的震撼，公司是否考虑下沉市场做两轮的电动车，或者考虑和华为一样提供技术给两轮电动车。个人认为这个市场是非常巨大的。,尊敬的投资者，您好！公司小动力电池可应用于各种领域，包括电动工具、清洁电器、电动二轮车、启停电池、机器人、小储能、微型电动车等领域。感谢您对公司的关注！,比亚迪,2.2168E+18
2594,比亚迪,cninfo1203082,2026/3/27 11:39,请问公司的闪充站大规模建设过程中闪充站场地及设施设备资产的所有权是比亚迪公司还是合作建站方？相关的固定资产是否计入公司财务报表中摊销。建站过程中的固定资产以及场地费用由分别由哪方出资？,,,2.23207E+18
2594,比亚迪,irm2774592,2026/3/26 18:07,公司储能收入占比太少了吧。怎么拓展和提升？,,,2.23152E+18
2594,比亚迪,irm3190605,2026/3/5 23:38,"今日全程观摩了贵比亚迪闪充的发布会，晚上特地去了超充站看
发现充电枪线上写的鑫宏利三个字，请问是我们知道的上市公司鑫宏利301310的产品吗？
他们建设项目包含其他吗？",尊敬的投资人，您好！公司的供应链合作及相关技术参数，属于商业保密范畴，请咨询相关公开信息。感谢关注！,比亚迪,2.21611E+18
2594,比亚迪,irm2293573,2026/3/2 12:26,建议公司收购魅族，打造自己的手机产业，未来手机跟汽车一体，让人们时刻离不开比亚迪，比短期利润更重要。,尊敬的投资者，您好！感谢关注！,比亚迪,2.21354E+18
2594,比亚迪,irm3235999,2026/3/24 7:57,问，海外业务业绩今年预估会增长多少,尊敬的投资者，您好！相关信息请以官方发布为准。感谢您对公司的关注！,比亚迪,2.22973E+18
2594,比亚迪,irm2774592,2026/3/25 22:30,你们有无飞行汽车参与低空的设计？,您好！比亚迪一直秉承用技术创新，满足人们对美好生活的向往，持续关注消费者的需求，并适时推出符合需求的产品。感谢您对公司的关注！,比亚迪,2.23092E+18
2594,比亚迪,cninfo636625,2026/3/6 11:06,昨天的发布会新闪充技术非常震撼。但是有个问题，节假日是高速出行高峰期，高速超充站的建设是单独拉线建设的吗？因为感觉一个储能单元，充不了几辆车就没电了。即使单独拉线了，会不会对现有电网容量结构造成冲击？,尊敬的投资者，您好！闪充能带来高翻台率，同时系统能够在闪充补能间隙持续为闪充系统补电，闪充站和终端完全有能力支撑连续不间断的日常运营。系统在工作时，电网输入与闪充系统放电始终处于“边充边补”的动态平衡状态。感谢您对公司的关注！,比亚迪,2.21646E+18
2594,比亚迪,irm2774592,2026/3/5 19:10,你可以把充电桩布置在中国石油中国石化加油站，跟他们合作，互利双赢,尊敬的投资者，您好！公司以开放的姿态探索商业合作模式，全国现有的充电网络运营商不仅不是竞品，反而被公司视为推行闪充战略“最坚实的基座”。通过与这些现有场站直接合作建设“闪充站中站”，比亚迪站在行业的肩膀上借力发展，让闪充站能够服务更多车主：一线城市保持3公里服务半径，用户大概5分钟可达；二、三线城市5公里布局，满足通勤需求；四、五线城市则以6公里间距，适配更庞大的消费市场。感谢您对公司的关注！,比亚迪,2.21597E+18
2594,比亚迪,irm3162427,2026/3/24 21:34,贵公司是否可以考虑加强与紫光展锐的合作，通过深度合作定制低端5G芯片（紫光展锐是世界上少数几个可以自研5G基带的公司），这样做既可以提高技术力又可以降低SOC采购成本（中芯国际代工），从而增厚贵公司在第三世界不发达市场的护城河。况且，紫光展锐处于IPO前期，贵公司能提供的市占率的提升正是紫光展锐所迫切需要的，合作应该容易以优惠条件达成,尊敬的投资者，您好！感谢您对公司的关注！,比亚迪,2.23015E+18
2594,比亚迪,irm2293573,2026/3/16 13:35,现有车型除了方程豹都乏善可陈，用鲨鱼皮卡的前脸做一个硬派的SUV，这款车型不香吗？,尊敬的投资者，您好！感谢您对公司车型设计相关的建议！,比亚迪,2.22396E+18
2594,比亚迪,irm1364795,2026/3/16 10:22,关于加强风险防范的提醒和建议（3）：为此，建议比亚迪：1）加强技术保密和核心人才保护工作。2）现阶段仍应以进一步提高国内产品市占率为发展的重中之重，控制好海外市场营销宣传和投资建厂的节奏和力度，比如对在美欧日具有强大影响力的地区的产品营销和投资建厂要克制，对参与F1赛事等需要投入重金的项目要慎之又慎。3）目前比亚迪海外市场的拓展似乎有点过于顺利了，事出反常必有幺，比亚迪在这种时候更应该保持清醒。,尊敬的投资者，您好！感谢您对公司的关注及建议！,比亚迪,2.22386E+18
2594,比亚迪,irm1364795,2026/3/16 10:16,关于加强风险防范的提醒和建议（2）：为应对比亚迪的威胁和挑战，这些利益集团一方面会通过加紧研究、学习、模仿甚至偷窃比亚迪的技术来追赶比亚迪，另一方面也会利用比亚迪当下急于拓展海外市场的心理，想方设法设计出各种法律的、财务的、营销的、投资的诱耳和陷阱，达到损害、甚至搞垮比亚迪的目的。,尊敬的投资者，您好！感谢您对公司的关注及建议！,比亚迪,2.22386E+18
2594,比亚迪,irm1364795,2026/3/16 10:11,关于加强风险防范的提醒和建议（1）：比亚迪闪充的全面落地铺开，虽然给比亚迪带来了空前的竞争优势和发展空间，但也让比亚迪处于比以往任何时候更危险的境地，因为它对全球太多经济、政治利益集团的核心利益构成了潜在巨大威胁。这些利益集团，尤其是以燃油车为经济支柱的欧美日绝不会坐视比亚迪迅速壮大，抢走它们在全球的市场和利润，导致通用、大众、丰田、BBA等一众车企破产倒闭，并造成本国大量失业。,尊敬的投资者，您好！感谢您对公司的关注！,比亚迪,2.22386E+18
2594,比亚迪,irm3216613,2026/3/16 5:25,"尊敬的王董：
向您提出一项核心战略建议：将全国高密度闪充基础设施网络，提升至集团最高战略优先级，其重要性远高于车型研发与参数竞争，以此换道领跑，奠定比亚迪未来数十年的绝对龙头地位。
建议比亚迪以统一、极具辨识度的视觉标识，在全国城乡、高速、区县全面铺开闪充站，实现高密集覆盖，让比亚迪闪充站如同中石油、中石化加油站一样随处可见、深入人心。抢占用户心智与销售制高点.20万不够，加大力度抢占先机。",尊敬的投资者，您好！感谢您对公司的战略的认可！,比亚迪,2.22371E+18
2594,比亚迪,irm3183810,2026/3/14 16:18,董秘你好，贵公司的电池做的这么好，有没有想过增加一下充电宝业务？现在充电宝行业参差不齐，选择困难，目前都在搞国家标准和溯源标准，贵公司的电池这么安全，高效！直接增加一个充电宝业务这个蓝海市场，我想大有可为。,您好！公司一直秉承用技术创新，满足人们对美好生活的向往，持续关注消费者的需求，并适时推出符合需求的产品。感谢您对公司的关注及建议！,比亚迪,2.22256E+18
2594,比亚迪,irm3113828,2026/3/14 13:00,董秘您好。建议公司在抖音等平台推出一个技术解析直播间，每周或定期直播讲解公司的各类技术和知识，以此为契机，迎合公司以技术为主的战略。,尊敬的投资者，您好！您的建议已经收到。在此向您分享，比亚迪股东星球微信小程序已经上线，我们清醒地看到，仅依靠财报数字、公告文本与有限的沟通窗口，很难完整呈现一家长期主义企业的判断逻辑与内在节奏。因此，我们希望通过“股东星球”平台，与各位股东建立一种更加稳定、连续透明的互动方式。也请您关注后续公司各官方信息渠道的信息。感谢您对公司的关注！,比亚迪,2.22246E+18
2594,比亚迪,irm1175423,2026/3/12 21:34,看见有人说腾势车标不好看，我专门下载了一个互动易。我想说的是腾势车标很好看！我很喜欢！有新闻提到公司准备进军F1，是真的吗？希望早上看到F1有BYD车队！,尊敬的投资者，您好！感谢您对腾势车标的认可。也在此向您分享，比亚迪股东星球微信小程序已经上线，我们清醒地看到，仅依靠财报数字、公告文本与有限的沟通窗口，很难完整呈现一家长期主义企业的判断逻辑与内在节奏。因此，我们希望通过“股东星球”平台，与各位股东建立一种更加稳定、连续透明的互动方式。也请您关注后续公司各官方信息渠道的信息！,比亚迪,2.22124E+18
2594,比亚迪,cninfo624403,2026/3/12 20:26,亲爱的董秘您好，请问咱们比亚迪今年计划大规模铺开闪充电站？这个电站是需要用到储能系统是吗？然后这个储能它那个散热是怎么解决的呀？因为这个东西是冬天发布的，到了夏天都没有测试过呀，夏天温度那么高。去年公司和另外一家做光伏边框的龙头公司签了战略合作，是该公司的液冷散热技术吗？,尊敬的投资者，您好！公司在储能领域有丰富的业务经验，依托全球领先的电池研发制造技术和强大的创新能力，产品涵盖电源侧、电网侧、工商业、闪充及家庭储能等应用领域。感谢您对公司的关注！,比亚迪,2.22121E+18
2594,比亚迪,cninfo1370714,2026/3/12 19:38,董秘您好，2024年新车主：427.21万辆，2025年新车主：460.24万辆。未来可否考虑推出面向老车主的「付费更换第二代刀片电池整包」的服务。,尊敬的投资者，您好！您的建议已经收到，也感谢您长期的支持！公司的闪充桩支持两把充电枪同时闪充，其中一把为闪充车型专属，另外一把充电枪则是对社会开放，所有品牌车型均能使用。,比亚迪,2.22118E+18
2594,比亚迪,irm2774592,2026/3/12 8:59,目前石油飙涨，可见在新能源替代方面，你们还有很大很大的空间，直到替代石油,尊敬的投资者，您好！公司以创新为核心驱动力，持续不断地推出一系列具有原创性、颠覆性的技术和产品，坚定不移地推动全球绿色可持续发展，致力于在解决社会问题的过程中发展自己。感谢您对公司的认可！,比亚迪,2.22085E+18
2594,比亚迪,irm3205356,2026/3/11 21:47,2.你们现在在视频号上有比亚迪汽车、比亚迪、各品牌事业部官号经理号研究院院长号、品牌公关部经理号，但没有形成合力，建议你们负责品宣和新媒体宣传的同事认真思考一下可以怎么做。新媒体传播，尤其是视频的传播对于舆论非常重要，要快速积累粉丝数，视频平台上发动态很容易看不到，发视频才有传播，发视频时可以联合账号发布，增加视频投流，有的平台适合长视频，有的适合短视频，需要你们多把握不同平台的特点。,尊敬的投资者，您好！您的建议已经收到！感谢您对公司的关注！,比亚迪,2.22051E+18
2594,比亚迪,irm3205356,2026/3/11 21:40,1.股东星球小程序做得很精致，十分认可你们的工作，头两期视频做得很好，建议你们和新媒体部门的同事协调一下，能否在新媒体视频平台也开设账号，起码把长访谈视频、股东活动视频放上，这样对你们的传播、增加股东数量和股民的认可会很有好处。建议你们考虑一下，尤其是展现你们投关的活动特点。甚至以后机构访谈、机构调研，如允许也可以放视频，这样展现和股民沟通的一面。,尊敬的投资者，您好！感谢您对公司工作的认可及建议。后续也请关注更多内容的展示！,比亚迪,2.2205E+18
2594,比亚迪,irm2731959,2026/3/11 20:01,发现一些闪充桩未显示在闪充app上，建议app上线在建或暂未开放使用的闪充桩，并注明即将开通。让用户心里有底，减少潜在客户闪充桩焦虑。,尊敬的投资者，您好！您的建议已经收到，感谢您对公司的关注及支持！,比亚迪,2.22045E+18
2594,比亚迪,irm2883298,2026/3/11 19:13,"“闪充中国”的战略非常高明，坚定了持股信心！
但资本市场的推介绝不可荒废，快1个月无机构来调研了。要从国家能源战略（平急两用等），油电优势（不要只在新能源车内卷了），竞争力的领先、深厚护城河（宁德及其他车企等半年内都无法跟的），电池与储能版块规模（目前市值中造车的贡献几乎为0）等方面向研究员介绍清楚。
同时改进品宣、外观等薄弱环节，并做好智能化下半场（日均1.6亿公里）提升储备！",尊敬的投资者，您好！感谢您对公司的建议！在此向您分享，比亚迪股东星球微信小程序已经上线，我们清醒地看到，仅依靠财报数字、公告文本与有限的沟通窗口，很难完整呈现一家长期主义企业的判断逻辑与内在节奏。因此，我们希望通过“股东星球”平台，与各位股东建立一种更加稳定、连续透明的互动方式。也请您关注后续公司各官方信息渠道的信息。,比亚迪,2.22043E+18
2594,比亚迪,irm1690266,2026/3/11 18:24,"公司已启动“闪充中国”战略，计划于二零二六年底前在全国建成总计20,000座闪充站。其中包括18,000座与运营商合作的城区“站中站”，旨在实现城区90%区域5公里内覆盖；以及2,000座“高速站”，覆盖近三分之一高速服务区，平均间隔约100公里。请问上述充电设施能否兼容其他品牌新能源充电车进行普通速度的充电？",尊敬的投资者，您好！您的问题非常关键。作为一项重大的基础设施投资，提升设备的综合利用率是实现商业价值的关键。闪充桩支持两把充电枪同时闪充，其中一把为闪充车型专属，另外一把充电枪则是对社会开放，所有品牌车型均能使用。感谢您对公司关注！,比亚迪,2.2204E+18
2594,比亚迪,irm2774592,2026/3/11 16:39,比亚迪颠覆技术发布会扭转了股价长期的颓势，请问你们在中央号召的量子科技、生物制造、氢能和核聚变能、脑机接口、具身智能、以及第六代移动通信（6G）六大产业，有什么应对的吗？,您好！公司始终秉持用技术创新，满足人们对美好生活的向往，持续深耕消费者核心需求，适时推出兼具市场竞争力与用户价值的产品及技术方案。后续相关动态，敬请关注公司官方发布的权威信息。您的类似建议我们已经充分了解，感谢您对公司的关注与支持！,比亚迪,2.22035E+18
2594,比亚迪,cninfo1369661,2026/3/26 13:48,中东地区的不确定性对汽车的销售影响有多大,,,2.23139E+18
2594,比亚迪,cninfo1369661,2026/3/26 13:46,2025年的营销及利润的增长幅度,,,2.23139E+18
2594,比亚迪,cninfo1356653,2026/3/24 17:27,媒体报道公司二代刀片电池采用了硅碳负极材料，这是硅碳负极电池的体积膨胀和循环寿命问题都解决了吗？,,,2.23002E+18
2594,比亚迪,irm2695919,2026/3/20 10:39,比亚迪公司作为国内乃至国际知名头部电池企业，与宁德时代对比市值实在是差距过大，希望贵司能学习宁德时代市值管理经验，把公司做大做强，不负投资者的青睐。,,,2.22684E+18
2594,比亚迪,irm1411379,2026/3/24 12:18,董秘老师你好，最近都在传言公司4月份会举办智驾发布会，力度比肩3月的电池发布会，并且会加大智能驾驶兜底范围，并且有自研芯片、全价位激光雷达、世界模型算法。这个消息属实吗?有没有可以透露的?谢谢,,,2.22986E+18
2594,比亚迪,irm1411379,2026/3/24 12:20,董秘老师你好，市场传闻，公司新的车型中会采用千线以上的激光雷达，超越华为的896线，请问是否属实？谢谢,,,2.22986E+18
2594,比亚迪,irm1411379,2026/3/24 12:15,董秘老师你好，最近都在传言公司4月份会举办智驾发布会，力度比肩3月的电池发布会，并且会加大智能驾驶兜底氛围，并且有自研芯片、全价位激光雷达、世界模型算法。这个消息属实吗？有没有可以透露的？谢谢,,,2.22986E+18
2594,比亚迪,irm2774592,2026/3/23 17:09,网上说比亚迪在4月将举办一场全新的智驾技术发布会，核心看点预计有：自研芯片、全价位激光雷达、世界模型算法。这个消息属实吗？,,,2.22927E+18
2594,比亚迪,irm2774592,2026/3/23 15:20,中东问题导致油价大涨，比亚迪电车在国内目前销售火爆吗？与前段时间比较,,,2.22921E+18
2594,比亚迪,irm2774592,2026/3/22 17:52,"过去用国外专利，我们付钱。现在可以转为让他们德国，欧盟
美国，澳洲汽车公司用比亚迪技术，你们收费！",,,2.22855E+18
2594,比亚迪,irm2774592,2026/3/22 17:15,比亚迪在澳洲等地火爆销售，请问你能介绍一下具体情况吗？,,,2.22853E+18
2594,比亚迪,irm1895512,2026/3/21 21:25,钛7负责人熊总25年10月份曾公开发视频承诺10月31日前签购车协议购买钛7顶配就送pad，现在自媒体有不少帖子反映到现在不发放pad兑换券，其中原因有改了颜色，改了提车人，等等，我也一样，我的情况是31日前把2驱改成4驱ultra。我想问难道31号改动成顶配就不符合资格吗？熊总在视频里没有任何附加条件，多次给关方客户电话给不出答复。,,,2.22792E+18
2594,比亚迪,irm1461965,2026/3/20 13:07,电池级聚乙二醇近期涨价近一倍，请问公司聚乙二醇供货商比如奥克股份供货稳价还是市价吗？,,,2.22692E+18
2594,比亚迪,irm2774592,2026/3/20 12:21,新浪报道比亚迪在亚洲热卖：中东战事推高油价 增强电动汽车吸引力。请问欧洲或者中东那边有无火爆的行情？,,,2.22689E+18
2594,比亚迪,irm2774592,2026/3/19 18:50,参加拉力赛展现新实力,,,2.22635E+18
2594,比亚迪,irm2898741,2026/3/20 0:04,董秘老师好，请问比亚迪未来有以智能汽车为平台开发具身智能和类脑智能（多脑区）与智能体通信协议标准的计划吗？,,,2.22651E+18
2594,比亚迪,irm1987636,2026/3/19 22:04,你好，根据公开信息及市场调研获悉，贵公司在企业治理方面呈现出明显的两级分化现象。即各事业部已逐步达到现代企业管理的各项要求，但在人力资源及后勤等板块长期被公司创始人大量亲属占据各关键岗位，呈现出一种管理固化及倒退现象。请问，对此后续可有相关改进预案？,,,2.22645E+18
2594,比亚迪,irm1987636,2026/3/19 22:05,你好，根据公开信息，贵公司主管后勤的副总裁王传方2024年薪酬为705.4万，显著高于同时期长城汽车董事长魏建军的568.56万，也高于上汽集团董事长王晓秋的237.76万，也高于赛力斯董事长张正萍的201.42万，请问，在当下汽车行业如此内卷的大背景下，这位后勤处总经理的薪酬是否合理？,,,2.22645E+18
2594,比亚迪,irm1987636,2026/3/19 22:04,你好，投资研究账号AJ Investment Research（@alojoh）在马斯克旗下社交媒体发文表示比亚迪当前产能利用率不足50%，对此马斯克也评论道“mega pain below 50%”，请予以澄清或评论，谢谢。,,,2.22645E+18
2594,比亚迪,irm2695919,2026/3/19 14:49,为什么和英伟达的合作也不公布具体信息？你们投关部整天在干什么,,,2.22623E+18
2594,比亚迪,cninfo650712,2026/3/19 9:58,今年被称为两轮电动助力自行车和电动摩托车的纳电池元年，纳电池会替代铅酸电池大量普及，比亚迪作为电池龙头企业为什么没有看到相关进展与消息，有没有和国内相关头部企业如雅迪，爱玛，小牛，九号等等进行合作啊,,,2.22608E+18
2594,比亚迪,irm2774592,2026/3/18 17:40,接下来你们是智能化为主了吧？智能驾驶，智能座舱？,,,2.22557E+18
2594,比亚迪,irm2774592,2026/3/18 8:45,利用储能优势，扩大储能业绩,,,2.2253E+18
2594,比亚迪,irm2774592,2026/3/18 8:44,你们储能很牛，却几乎没啥业绩提升，问题在哪？,,,2.2253E+18
2594,比亚迪,irm2695919,2026/3/18 10:42,比亚迪公司董秘你好，目前在各大平台关注到贵司投资者不遗余力地支持比亚迪公司，在比亚迪公司被黑的时候维护比亚迪公司形象，希望贵司能做好市值管理，回馈广大投资者厚爱。,,,2.22536E+18
2594,比亚迪,irm3221394,2026/3/17 21:27,董秘你好，请问下比亚迪闪冲技术是否适用于各类乘用车的电池充电,,,2.22495E+18
2594,比亚迪,irm1615846,2026/3/17 18:51,公司的第二代刀片电池是否用磷酸锰铁锂？谢谢！,,,2.22487E+18
2594,比亚迪,irm2774592,2026/3/17 16:27,欧洲急需储能，你们最近有无着手扩大欧盟市场？我是说最近,,,2.22479E+18
2594,比亚迪,irm1335866,2026/3/17 15:17,你好，请问公司最新发布的二代刀片电池需要添加补锂剂吗？添加比例大概是多少呢？,,,2.22476E+18
2594,比亚迪,irm2695919,2026/3/17 11:07,董秘你好，请问贵司四月份有智驾发布会吗？,,,2.22463E+18
2594,比亚迪,irm2883298,2026/3/16 11:06,"两点建议：
1、	综合零散信息，公司外供动力及储能电池年销售应该大几百亿，含内供全电池应超千亿，但因信披及资本市场推介问题，导致很多主题ETF未配置，这块做好增量资金应是百亿级别，年报披露时要充分考虑；
2、	如五一闪充铺设及车型销售顺利开展，届时可能出现有些黑子通过“挤兑式”闪充来说充电时间很长体验不好，这块要提前筹划做好应对预案。",,,2.22389E+18
2594,比亚迪,irm1240043,2026/3/15 13:09,請問，貴司比亞迪電子是否有閃充相關業務？謝謝,,,2.22321E+18
2594,比亚迪,irm1442097,2026/3/14 9:00,尊敬的董秘，公司最近推出的9分钟充满的闪充技术，有计划成套对外销售给其他汽车公司使用吗，使其他品牌汽车也能达到9分钟充满，这样公司光卖电池 闪充站的收入都非常高了,,,2.22234E+18
2594,比亚迪,irm2695919,2026/3/13 11:04,董秘你好，比亚迪目前和加拿大接触频繁，请问公司是否有通过加拿大转口进入美国市场的预期？,,,2.22166E+18
2594,比亚迪,cninfo1370466,2026/3/12 17:34,董秘你好，公司最近发布的二代刀片电池和兆瓦闪充技术确实很惊艳。针对兆瓦闪充的储能柜有几个问题想请教。第一，针对兆瓦闪充高频次，兆瓦级功率的吞吐，其设计寿命是否能达到常规储能的10000次水平？如果没有，请问具体设计寿命是多少？第二，质保标准，正对兆瓦闪充储能柜，质保条款是如何设定的，比如质保年限，循环次数，容量保持率低于多少可以免费更换？期待你的详细回复，谢谢！,,,2.22112E+18
2594,比亚迪,cninfo1226082,2026/3/12 11:13,董秘您好，公司轨道交通业务连年亏损烧钱做研发，而且用高倍基金杠杆撬动项目。在国内政策重重设限的背景下，发展存在诸多不确定性。请问公司将如何改变现状，预计该业务何时才能实现盈亏平衡，并实现规模化盈利？最重要的契机是什么？,,,2.22092E+18
2594,比亚迪,irm2695919,2026/3/12 10:18,闪充桩和各大省份高速集团的合作为何不公开公示？,,,2.22089E+18
2594,比亚迪,cninfo1368250,2026/3/12 1:48,"董秘您好！公司动力电池内部配套高达80%，外供能力与市场拓展不足。在新能源汽车竞争加剧、机器人与无人机产业爆发背景下，请问公司：
 
1.?是否有明确举措大幅提升外供比例，降低对内部配套依赖？
?
2.?机器人及无人机储能业务是否已有成熟产品与客户拓展计划？
?
3.?上述业务如何真正落地形成规模化利润，提升公司估值？
盼正面回复，谢谢！",,,2.22063E+18
2594,比亚迪,irm2261033,2026/3/7 14:36,董秘您好。作为一款中高端车的定位，腾势目前的车标却难以体现高级感。建议将车标更换为另一种。谢谢,尊敬的投资者，您好！衷心感谢您对公司的关注与宝贵建议！公司未来将持续聆听市场声音，审慎吸纳各类有价值的建言，以赋能公司核心能力提升与高质量发展。,比亚迪,2.21731E+18
2594,比亚迪,cninfo1367780,2026/3/8 13:37,建议比亚迪公司在每个城市，每个区县建一个闪充站，以迅速普及闪充技术。,"尊敬的投资者，您好！公司已启动“闪充中国”战略，计划于二零二六年底前在全国建成总计20,000座闪充站。其中包括18,000座与运营商合作的城区“站中站”，旨在实现城区90%区域5公里内覆盖；以及2,000座“高速站”，覆盖近三分之一高速服务区，平均间隔约100公里。感谢您对公司的关注！",比亚迪,2.21803E+18
2594,比亚迪,irm2774592,2026/3/9 12:58,我知道你说过很多次比亚迪储能，关键是要扩大储能在整个收入中的比重，，还有让汽车也能放电，作为移动的储能,尊敬的投资者，您好！相关信息已在您此前相似的提问下进行回复，您的建议及心情也已充分传递，感谢您对公司的关注及建议！,比亚迪,2.21875E+18
2594,比亚迪,irm1108510,2026/3/11 15:18,请问比亚迪是否有研发钠电池的计划？公司是怎么看待钠电池的？比亚迪是否会将钠电池作为未来发展的一个方向？,您好！比亚迪一直秉承用技术创新，满足人们对美好生活的向往，持续关注消费者的需求，并适时推出符合消费者需求的技术及产品。感谢您对公司的关注！,比亚迪,2.2203E+18
2594,比亚迪,irm1977067,2026/3/11 15:12,董秘你好，能否介绍一下公司有储能电源业务吗，欧洲能源危机对储能需求加大，请问公司在欧洲美国有储能业务吗谢谢。,尊敬的投资者，您好！比亚迪储能始于2008年，专注于储能系统及设备的技术研发和推广应用；已形成集储能产品研发、制造、销售、服务、回收利用于一体的完整产业链，产品全面覆盖电源侧储能、电网侧储能、工商业储能、家庭储能等应用领域。依托全球领先的电池研发制造技术和强大的创新能力，比亚迪储能已为国内外数百个储能项目提供安全可靠的储能系统解决方案，新能源产品远销全球6大洲，包括中国、美国、英国、德国、法国、瑞士、意大利、澳大利亚、南非、智利、沙特等超过110个国家和地区。感谢您对公司的关注！,比亚迪,2.2203E+18
